Property Name,Address,Phone,Phone 2,Phone 3,HotelRating,state,cityName,timezone
Bluegreen Vacations Shenandoah Crossing,174 Horseshoe Circle GordonsvilleVirginia 22942 ,540-832-9400,,,TwoStar,virginia,"Charlottesville,   Virginia",Eastern
Econo Lodge Inn & Suites,1501 Tyler Ave. Building 2RadfordVirginia 24141 ,540-838-2115,,,TwoStar,virginia,"Blacksburg,   Virginia",Eastern
The Omni Homestead Resort,1766 Homestead Dr HotspringsVirginia 24445 ,540-839-1766,,,FourStar,virginia,"Covington,   Virginia",Eastern
Vine Cottage Inn,7402 Sam Snead Highway Hot SpringsVirginia 24445-2784 ,540-839-2422,,,All,virginia,"Covington,   Virginia",Eastern
The Inn At Warm Springs,12968 Sam Snead Highway Warm SpringsVirginia 24484 ,540-839-5351,,,ThreeStar,virginia,"Covington,   Virginia",Eastern
Roseloe Motel,10849 Sam Snead Hwy Hot SpringsVirginia 24445 ,540-839-5373,,,TwoStar,virginia,"Covington,   Virginia",Eastern
The Cottage At Ravens Roost Farm,1129 Stonyman Road LurayVirginia 22835 ,540-843-0776,,,ThreeStar,virginia,"Luray,   Virginia",Eastern
South Court Inn,160 S Court Street LurayVirginia 22835 ,540-843-0980,,,All,virginia,"Luray,   Virginia",Eastern
Piney Hill B&B And Cottages,1048 Piney Hill Road LurayVirginia 22835 ,540-860-8470,,,All,virginia,"Luray,   Virginia",Eastern
Holiday Inn Express Winchester South Stephens City,165 Town Run Ln Stephens CityVirginia 22655 ,540-869-0909,,,TwoStar,virginia,"Stephens City,   Virginia",Eastern
Quality Inn Stephens City Winchester South,167 Town Run Lane Stephens CityVA 22655 ,540-869-6500,,,TwoStar,virginia,"Stephens City,   Virginia",Eastern
Country Inn & Suites by Radisson Winchester VA,141 Kernstown Commons Blvd. WinchesterVirginia 22602 ,540-869-7657,,,ThreeStar,virginia,"Winchester,   Virginia",Eastern
Silver Lake Bed & Breakfast,1331 Silver Lake Road DaytonVirginia 22821 ,540-879-2717,,,TwoStar,virginia,"Harrisonburg,   Virginia",Eastern
Best Western Staunton Inn,92 Rowe Road StauntonVirginia 24401 ,540-885-1112,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Red Roof Inn Staunton,42 Sangers Lane StauntonVirginia 24401 ,540-885-3117,,,All,virginia,"Staunton,   Virginia",Eastern
Frederick House,North New Street 28 28 StauntonVirginia 24401 ,540-885-4220,,,ThreeStar,virginia,"Staunton,   Virginia",Eastern
Stonewall Jackson Hotel,24 South Market Street StauntonVirginia 24401 ,540-885-4848,,,ThreeStar,virginia,"Staunton,   Virginia",Eastern
Econo Lodge East,1031 Richmond Ave StauntonVA 24401 ,540-885-5158,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Olde Staunton Inn,260 North Lewis Street StauntonVirginia ,540-886-0193,,,ThreeStar,virginia,"Staunton,   Virginia",Eastern
Ubon Thai Victorian Inn & Restaurant,515 West Frederick Street StauntonVirginia 24401 ,540-886-4141,,,All,virginia,"Staunton,   Virginia",Eastern
Comfort Inn Staunton,1302 Richmond Ave. StauntonVA 24401 ,540-886-5000,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Howard Johnson Express Inn Staunton,268 North Central Avenue StauntonVA 24401 ,540-886-5330,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Hampton Inn Staunton,40 Payne Lane 40 24401 StauntonVirginia ,540-886-7000,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Quality Inn & Suites,200 Frontier Drive StauntonVA 24401 ,540-887-0200,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Sleep Inn Staunton,222 Jefferson Hwy StauntonVA 24401 ,540-887-6500,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
TownePlace Suites Fredericksburg,4700 Market Street Route 1489FredericksburgVirginia 22408 ,540-891-0775,,,ThreeStar,virginia,"Fredericksburg,   Virginia",Eastern
Comfort Suites Fredericksburg South,4615 Southpoint Parkway FredericksburgVirginia 22407 ,540-891-1112,,,TwoStar,virginia,"Fredericksburg,   Virginia",Eastern
Fairfield Inn & Suites Fredericksburg,10330 Spotsylvania Avenue FredericksburgVirginia 22408USA ,540-891-9100,,,TwoStar,virginia,"Fredericksburg,   Virginia",Eastern
Stay 4 Less,5308 Jefferson Davis Hwy FredericksburgVirginia 22408 ,540-898-1000,,,TwoStar,virginia,"Fredericksburg,   Virginia",Eastern
Red Roof Inn Fredericksburg South,5324 Jefferson Davis Highway FredericksburgVirginia 22408 ,540-898-1102,,,TwoStar,virginia,"Fredericksburg,   Virginia",Eastern
Country Inn & Suites by Radisson Fredericksburg South,5327 Jefferson Davis Highway FredericksburgVirginia 22408 ,540-898-1800,,,ThreeStar,virginia,"Fredericksburg,   Virginia",Eastern
Hampton Inn & Suites Fredericksburg South,4800 Market Street 22408 Fredericksburg FredericksburgVirginia 22408 ,540-898-5000,,,TwoStar,virginia,"Fredericksburg,   Virginia",Eastern
Holiday Inn Express Fredericksburg Southpoint,Jefferson Davis Hwy. 5422 FredericksburgVirginia 22407United States ,540-898-5550,,,TwoStar,virginia,"Fredericksburg,   Virginia",Eastern
Travelodge Fredericksburg,Jefferson Davis Hwy 5316 22408 Fredericksburg FredericksburgVirginia 22408 ,540-898-6800,,,TwoStar,virginia,"Fredericksburg,   Virginia",Eastern
Econo Lodge,5319 Jefferson Davis Hwy FredericksburgVirginia 22408 ,540-898-7100,,,TwoStar,virginia,"Fredericksburg,   Virginia",Eastern
The Richard Johnston Inn & 1890 Caroline House,711 Caroline St FredericksburgVirginia 22401 ,540-899-7606,,,FiveStar,virginia,"Fredericksburg,   Virginia",Eastern
Holiday Motor Lodge Pearisburg,401 N Main St PearisburgVirginia 24134-1538 ,540-921-1552,,,TwoStar,virginia,"Blacksburg,   Virginia",Eastern
Inn at Riverbend,125 River Ridge Drive BlacksburgVirginia 24134 ,540-921-5211,,,ThreeStar,virginia,"Blacksburg,   Virginia",Eastern
Uphill House B&b,18248 Buzzard Hollow Road GordonsvilleVirginia 22942 ,540-923-0119,,,ThreeStar,virginia,"Charlottesville,   Virginia",Eastern
Travelodge by Wyndham Low Moor Near Covington,123 Westvaco Rd 24457 ,540-929-0977,,,TwoStar,pennsylvania,"Bradford,   Pennsylvania",Eastern
Comfort Inn,15 Windi Grove Drive WaynesboroVirginia 22980 ,540-932-3060,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Holiday Inn Express Hotel & Suites Waynesboro Route 340,20 Windigrove Drive WaynesboroVirginia 22980 ,540-932-7170,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Affordable Corporate Suites of Waynesboro,240 Sheppard Court WaynesboroVirginia 22980 ,540-941-1062,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Best Western Plus Waynesboro Inn & Suites Conference Center,"109 Apple Tree Lane I-64, Exit 94 Interstate 64 Exit 94WaynesboroVirginia 22980 ",540-942-1100,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Quality Inn Waynesboro,640 W Broad St WaynesboroVA 22980 ,540-942-1171,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Days Inn Waynesboro,2060 Rosser Avenue I 64 I 64 And Exit 94 I-64 and Exit 94 WaynesboroVA 22980 ,540-943-1101,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Belle Hearth Bed and Breakfast,320 South Wayne Avenue WaynesboroVirginia 22980 ,540-943-1910,,,ThreeStar,virginia,"Staunton,   Virginia",Eastern
The Iris Inn Bed & Breakfast,191 Chinquapin Dr. WaynesboroVirginia 22980 ,540-943-1991,,,FourStar,virginia,"Staunton,   Virginia",Eastern
Super 8 by Wyndham Waynesboro,2045 Rosser Ave. I-64 Exit 94 at US 340 WaynesboroVA 22980 ,540-943-3888,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Residence Inn Waynesboro,44 Windigrove Drive WaynesboroVA 22980 ,540-943-7426,,,ThreeStar,virginia,"Staunton,   Virginia",Eastern
Royal Inn Motel,2112 W Main St WaynesboroVA 22980 ,540-949-8253,,,TwoStar,virginia,"Staunton,   Virginia",Eastern
Days Inn by Wyndham Blacksburg Conference Center,3503 Holiday Lane BlacksburgVirginia 24060 ,540-951-1330,,,TwoStar,virginia,"Blacksburg,   Virginia",Eastern
Comfort Inn Blacksburg,3705 S. Main St. BlacksburgVirginia 24060 ,540-951-1500,,,TwoStar,virginia,"Blacksburg,   Virginia",Eastern
Quality Inn (Ex. Baymont Inn & Suites Covington),429 W Main Street 244261518 Augusta CovingtonVirginia 24426-1518 ,540-960-2131,,,TwoStar,virginia,"Covington,   Virginia",Eastern
Hampton Inn Covington,701 Carlyle Street 24426 Covington George Washington National ForestCovingtonVirginia 24426 ,540-962-1200,,,TwoStar,virginia,"Covington,   Virginia",Eastern
Magnuson Hotel Mountain View,820 E Madison St Covington CovingtonVirginia 24426 ,540-962-4951,,,TwoStar,virginia,"Covington,   Virginia",Eastern
M Star Hotel Covington,912 Valley Ridge Road CovingtonVirginia 24426 ,540-962-7600,,,TwoStar,virginia,"Covington,   Virginia",Eastern
Oak Tree Inn Low Moor,123 Westvaco Rd Low MoorVirginia 24457 ,540-965-0090,,,TwoStar,virginia,"Covington,   Virginia",Eastern
Holiday Inn Express Troutville Roanoke North,3200 Lee Highway South TroutvilleVirginia 24175 ,540-966-4444,,,TwoStar,virginia,"Roanoke,   Virginia",Eastern
Prospect Hill Plantation Inn,2887 Poindexter Road Louisa CountyVirginia 23093 ,540-967-2574,,,FourStar,virginia,"Charlottesville,   Virginia",Eastern
Good Place Farms Bed and Breakfast,31 Crestview Lane LexingtonVirginia 24450 ,540-968-1037,,,ThreeStar,virginia,"Lexington,   Virginia",Eastern
Wilderness Presidential Resorts,9220 Plank Road SpotsylvaniaVirginia 22553 ,540-972-7433,,,ThreeStar,virginia,"Spotsylvania,   Virginia",Eastern
Rodeway Inn Civic Center,Orange Avenue Northeast 526 N.E.RoanokeVirginia 24016 ,540-981-9341,,,TwoStar,virginia,"Roanoke,   Virginia",Eastern
Holiday Inn Express Roanoke Civic Center,815 Gainsboro Road RoanokeVirginia 24016 ,540-982-0100,,,TwoStar,virginia,"Roanoke,   Virginia",Eastern
Hotel Roanoke & Conference Center Curio Collection by Hilton,110 Shenandoah Avenue Roanoke  24016-2025VA ,540-985-5900,,,FourStar,virginia,"Roanoke,   Virginia",Eastern
Days Inn Salem,1535 E Main St SalemVirginia 24153 ,540-986-1000,,,TwoStar,virginia,"Roanoke,   Virginia",Eastern
Skyline Vineyard Inn,65 Clark Lane Po Box 198 PO Box 198WashingtonVirginia 22747 ,540-987-3300,,,ThreeStar,virginia,"Washington,   Virginia",Eastern
The Blue Rock Inn,12567 Lee Highway WashingtonVirginia 22747 ,540-987-3388,,,FourStar,virginia,"Washington,   Virginia",Eastern
Quality Inn Tanglewood,3816 Franklin Rd. Sw RoanokeVA 24014 ,540-989-4000,,,TwoStar,virginia,"Roanoke,   Virginia",Eastern
Howard Johnson by Wyndham Daleville Roanoke North,437 Roanoke Road I-81 Exit #150 B DalevilleVirginia 24083 ,540-992-1234,,,TwoStar,virginia,"Daleville,   Virginia",Eastern
Super 8 by Wyndham Daleville Roanoke,446 Roanoke Rd DalevilleVirginia 24083 ,540-992-3000,,,TwoStar,virginia,"Daleville,   Virginia",Eastern
Red Roof Inn Roanoke Troutville,3231 Lee Highway TroutvilleVirginia 24175 ,540-992-5055,,,TwoStar,virginia,"Roanoke,   Virginia",Eastern
Quality Inn Troutville,3139 Lee Hwy South TroutvilleVirginia 24175 ,540-992-5335,,,TwoStar,virginia,"Roanoke,   Virginia",Eastern
Comfort Inn Troutville Roanoke North,2545 Lee Highway 2545 24175 6327 Troutville TroutvilleVirginia 24175-6327 ,540-992-5600,,,TwoStar,virginia,"Roanoke,   Virginia",Eastern
Hummingbird Inn,30 Wood Lane P.O. Box 147GoshenVirginia 24439 ,540-997-9065,,,FourStar,virginia,"Lexington,   Virginia",Eastern
Skyland Resort,Milepost 41 7 42 5 Skyline Drive 22835 LurayP.O. Box: 727Shenandoah National Park ,540-999-2211,,,TwoStar,virginia,"Luray,   Virginia",Eastern
Rodeway Inn Arlington,410 Beech Street ArlingtonOregon 97812 ,541-454-2646,,,TwoStar,maryland,"Baltimore,   Maryland",Eastern
Hotel Millersburg,35 West Jackson Street MillersburgOhio 44654 ,541-523-2242,,,TwoStar,ohio,"Millersburg,   Ohio",Eastern
Packwood Family Ski and Vacation Getaway,113 Belfair Court  ,541-667-7673,,,ThreeStar,district of columbia,"Washington,   District of Columbia",Eastern
Rodeway Inn,5601 Us Hwy 21 28642 Jonesville JonesvilleNorth Carolina 28642 ,541-765-7773,,,TwoStar,north carolina,"Jonesville,   North Carolina",Eastern
Jersey City Bed & Breakfast,Mercer Street 442 442 Jersey CityNew Jersey 07302 ,551-697-5549,,,ThreeStar,new jersey,"Jersey City,   New Jersey",Eastern
Elliott House Bed & Breakfast,42062 Tollhouse Road Shaver LakeCalifornia 93664 ,559-250-0567,,,ThreeStar,maryland,"California,   Maryland",Eastern
John Muir Lodge,86728 Highway 180 Kings Canyon National ParkCalifornia 93633 ,559-335-5500,,,TwoStar,maryland,"California,   Maryland",Eastern
Best Western Kettleman City Inn & Suites,33410 Powers Dr Kettleman CityCalifornia 93239 ,559-386-0804,,,TwoStar,maryland,"California,   Maryland",Eastern
Americas Best Value Inn Kettleman City,33415 Powers Drive Kettleman CityKalifornien 93239 ,559-386-9530,,,TwoStar,maryland,"California,   Maryland",Eastern
Montecito Sequoia Lodge,63410 Generals Highway Kings Canyon National ParkCalifornia  93633 ,559-565-3388,,,FourStar,maryland,"California,   Maryland",Eastern
Stony Creek Lodge,65569 General's Highway SequoiaCalifornia 93262 ,559-565-3909,,,ThreeStar,maryland,"California,   Maryland",Eastern
Wuksachi Lodge,64740 Wuksachi Way Sequoia National ParkCalifornia 93262 ,559-565-4070,,,TwoStar,maryland,"California,   Maryland",Eastern
Engvadonia Yosemite,5828 Colorado Road  ,559-579-7600,,,All,maryland,"California,   Maryland",Eastern
Sierra Meadows,46516 Opah Drive AhwahneeCalifornia 93601 ,559-580-8085,,,ThreeStar,maryland,"California,   Maryland",Eastern
Holiday Inn Express & Suites Oakhurst Yosemite Park Area,40820 Highway 41 OakhurstCalifornia 93644 ,559-641-2100,,,TwoStar,maryland,"California,   Maryland",Eastern
Yosemite Lodging at Big Creek Inn B&B,1221 Highway 41 P.O. Box 39Fish CampCalifornia 93623 ,559-641-2828,,,FourStar,maryland,"California,   Maryland",Eastern
Sierra Springs 4BR 3BA Holiday Home,42862 Scenic Drive  ,559-641-5673,,,All,maryland,"California,   Maryland",Eastern
Tin Lizzie Inn,Laurel Way 7730 7730 Laurel WayFishcampCalifornia 93623 ,559-641-7731,,,ThreeStar,maryland,"California,   Maryland",Eastern
Apple Blossom Inn,44606 Silver Spur Trail AhwahneeCalifornia 93601 ,559-642-2001,,,ThreeStar,maryland,"California,   Maryland",Eastern
Yosemite Sierra Inn,40662 Highway 41 OakhurstCalifornia 93644 ,559-642-2525,,,TwoStar,maryland,"California,   Maryland",Eastern
The Pines Resort & Conference Center,54432 Road 432 P.O. Box 90 54432 Road 432Bass LakeCalifornia 93604 ,559-642-3121,,,ThreeStar,maryland,"California,   Maryland",Eastern
Hounds Tooth Inn,42071 Highway 41 OakhurstCalifornia 93644 ,559-642-6600,,,FourStar,maryland,"California,   Maryland",Eastern
Fairfield Inn and Suites Oakhurst Yosemite,"40780 HIGHWAY 41 Oakhurst, CA, 93644 ",559-658-3462,,,TwoStar,maryland,"California,   Maryland",Eastern
Hampton Inn Oakhurst-yosemite,40740 Highway 41 93644 ,559-658-4462,,,TwoStar,maryland,"California,   Maryland",Eastern
Americas Best Value Inn Yosemite Oakhurst,48800 Royal Oaks Drive OakhurstCalifornia 93644 ,559-658-5500,,,TwoStar,maryland,"California,   Maryland",Eastern
Black Oak Manor,45943 Black Oak Rd  ,559-676-2255,,,FourStar,maryland,"California,   Maryland",Eastern
Homestead Cottages,41110 Road 600 AhwahneeCalifornia 93601 ,559-683-0495,,,ThreeStar,maryland,"California,   Maryland",Eastern
Best Western Plus Yosemite Gateway Inn,40530 Highway 41 OakhurstCalifornia 93644 ,559-683-2378,,,TwoStar,maryland,"California,   Maryland",Eastern
Yosemite Southgate Hotel & Suites,40644 Highway 41 OakhurstCalifornia 93644 ,559-683-3555,,,ThreeStar,maryland,"California,   Maryland",Eastern
Oakhurst Lodge,40302 Highway 41 OakhurstCalifornia 93644 ,559-683-4417,,,TwoStar,maryland,"California,   Maryland",Eastern
Ravensbrook Inn Yosemite,37621 Ravensbrook Way CoarsegoldCalifornia 93614 ,559-683-4792,,,ThreeStar,maryland,"California,   Maryland",Eastern
Tenaya Lodge at Yosemite,1122 Highway 41 P.O. Box 159Fish CampCalifornia 93623 ,559-683-6555,,,FourStar,maryland,"California,   Maryland",Eastern
Chateau Du Sureau,48688 Victoria Lane P.O. Box 577OakhurstCalifornia 93644 ,559-683-6860,,,FiveStar,maryland,"California,   Maryland",Eastern
Yosemite Sierra View Bed & Breakfast,39060 Highway 41 OakhurstCalifornia 93644 ,559-683-7650,,,All,maryland,"California,   Maryland",Eastern
Sierra Mountain Lodge,45046 Fort Nip Trail AhwahneeCalifornia 93601 ,559-683-7673,,,All,maryland,"California,   Maryland",Eastern
Narrow Gauge Inn,48571 Highway 41 Fish CampCalifornia 93623 ,559-683-7720,,,ThreeStar,maryland,"California,   Maryland",Eastern
Manzanita Cabin Bass Lake,39410 Manzanita Drive  ,559-683-7855,,,All,maryland,"California,   Maryland",Eastern
Sierra Sky Ranch an Ascend Hotel Collection Member,50552 Road 632 OakhurstCA 93644 ,559-683-8040,,,ThreeStar,maryland,"California,   Maryland",Eastern
Comfort Inn Yosemite Area,40489 Highway 41 OakhurstCalifornia 93644 ,559-683-8282,,,TwoStar,maryland,"California,   Maryland",Eastern
Queen'S Inn By The River,41139 Highway 41 OakhurstCA 93644 ,559-683-9354,,,ThreeStar,maryland,"California,   Maryland",Eastern
Highland House Bed and Breakfast,3125 Wild Dove Lane MariposaCalifornia 95338 ,559-696-3341,,,All,maryland,"California,   Maryland",Eastern
Shaver Lake Village Hotel,42135 Tollhouse Road Shaver LakeCalifornia 93664 ,559-841-8289,,,All,maryland,"California,   Maryland",Eastern
Black Hawk Lodge,27694 Highway 41 CoarsegoldCalifornia 93614 ,559-868-3596,,,TwoStar,maryland,"California,   Maryland",Eastern
Best Western Plus Coalinga Inn & Suites,1786 Jayne Avenue CoalingaCalifornia 93210 ,559-934-0101,,,TwoStar,maryland,"California,   Maryland",Eastern
Best Western Big Country Inn,25020 West Dorris Avenue CoalingaKalifornien 93210 ,559-935-0866,,,TwoStar,maryland,"California,   Maryland",Eastern
Motel 6 Coalinga East,25008 West Dorris Avenue CoalingaKalifornien 93210 ,559-935-1536,,,TwoStar,maryland,"California,   Maryland",Eastern
Cambridge Inn Motor Lodge,100 Cambridge Ave 93210 CoalingaCalifornia ,559-935-1541,,,TwoStar,maryland,"California,   Maryland",Eastern
Royal Lodge,800 East Elm Avenue CoalingaCalifornia 93210 ,559-935-1664,,,TwoStar,maryland,"California,   Maryland",Eastern
Travelodge by Wyndham Coalinga,25278 W Dorris Ave I-5 & Highway 198 exitCoalingaKalifornien 93210 ,559-935-2063,,,TwoStar,maryland,"California,   Maryland",Eastern
Travel Inn,834 East Elm Avenue CoalingaCalifornia 93210 ,559-935-2988,,,All,maryland,"California,   Maryland",Eastern
Laura Lodge,201 South 5th Street CoalingaCalifornia 93210 ,559-935-3693,,,ThreeStar,maryland,"California,   Maryland",Eastern
Sequoia Resort,50616 Highway 245 BadgerCA 93603 ,559-967-1755,,,ThreeStar,maryland,"California,   Maryland",Eastern
Riverfront Property With Waterfalls Near Yosemite And Bass Lake,49949 Gamegan Way OakhurstCalifornia 93644 ,559-978-9010,,,FourStar,maryland,"California,   Maryland",Eastern
Courtyard West Palm Beach Airport,1800 Centrepark Drive East West Palm BeachFL 33401 ,561-207-1800,,,ThreeStar,florida,"West Palm Beach,   Florida",Eastern
Condos at Singer Island Resort&Spa,3800 N Ocean Drive  ,561-214-4498,,,FourStar,florida,"Singer Island,   Florida",Eastern
Palm Beach Singer Island Beach Resort Condos,3800 N. Ocean Drive  ,561-223-4585,,,FourStar,florida,"Singer Island,   Florida",Eastern
Marriott's Oceana Palms,3200 North Ocean Drive Singer IslandFlorida 33404 ,561-227-3600,,,FourStar,florida,"Singer Island,   Florida",Eastern
Hilton West Palm Beach,600 Okeechobee Blvd West Palm BeachFlorida 33401 ,561-231-6000,,,FourStar,florida,"West Palm Beach,   Florida",Eastern
The Residences at Latitude Delray Beach,225 South Latitude Circle Delray BeachFlorida 33483 ,561-239-4619,,,FourStar,florida,"Delray Beach,   Florida",Eastern
Courtyard Boca Raton,2000 NW Executive Center Circle Boca RatonFlorida 33431 ,561-241-7070,,,ThreeStar,florida,"Boca Raton,   Florida",Eastern
Fairfield Inn & Suites By Marriott Wellington west Palm Beach,10616 Forest Hill Boulevard WellingtonFlorida 33414 ,561-249-8095,,,TwoStar,florida,"Wellington,   Florida",Eastern
Comfy Mountain Home Near Everything yet Private Houses for Rent in H,48 Reedy Ridge Rd  ,561-257-3869,,,ThreeStar,north carolina,"Asheville,   North Carolina",Eastern
Palm Beach Singer Island Private Owner Condos,3800 North Ocean Drive  ,561-271-6972,,,FourStar,florida,"Singer Island,   Florida",Eastern
Sundy House,106 S Swinton Ave Delray BeachFL 33444 ,561-272-5678,,,FourStar,florida,"Delray Beach,   Florida",Eastern
Wyndham Grand Jupiter at Harbourside Place,122 Soundings Avenue JupiterFlorida 33477 ,561-273-6600,,,FourStar,florida,"Jupiter,   Florida",Eastern
Delray Beach Marriott,10 North Ocean Boulevard Delray BeachFlorida 33483 ,561-274-3200,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
The Dover House Resort,110 South Ocean Boulevard Delray BeachFL 33483 ,561-276-0309,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
Colony Hotel & Cabaña Club,525 East Atlantic Avenue Delray BeachFlorida 33483 ,561-276-4123,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
Parliament Inn,1236 George Bush Boulevard Delray BeachFlorida 33483 ,561-276-6245,,,All,florida,"Delray Beach,   Florida",Eastern
Residence Inn Delray Beach,1111 East Atlantic Avenue 1111 Delray BeachFlorida 33483 ,561-276-7441,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
Delray South Shore Club,1625 South Ocean Boulevard Delray BeachFlorida 33483 ,561-276-9514,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
Crane's Beach House Boutique Hotel & Luxury Villas,82 Gleason Street Delray BeachFlorida 33483 ,561-278-1700,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
Wright By The Sea,1901 S Ocean Blvd Delray BeachFL 33483 ,561-278-3355,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
Delray Breakers On The Ocean,1875 South Ocean Boulevard Delray BeachFL 33483 ,561-278-4501,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
Delray Sands Resort,2809 South Ocean Boulevard Highland BeachFlorida 33487 ,561-278-6241,,,FourStar,florida,"Highland Beach,   Florida",Eastern
Fairfield Inn & Suites Delray Beach I 95,910 West Atlantic Avenue Delray BeachFlorida 33444 ,561-279-2900,,,TwoStar,florida,"Delray Beach,   Florida",Eastern
Arms At The Glen,330 South Franklin Street Watkins GlenNew York 14891 ,561-302-1448,,,ThreeStar,new york,"Watkins Glen,   New York",Eastern
White Horse Motel,1426 South Federal Highway Lake WorthFlorida 33460 ,561-318-7040,,,TwoStar,florida,"Lake Worth,   Florida",Eastern
Hyatt Place Delray Beach,104 Northeast 2nd Avenue Delray BeachFlorida 33444 ,561-330-3530,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
Palm Beach Marriott Singer Island Beach Resort & Spa,3800 North Ocean Drive Riveria BeachSinger IslandFlorida 33404 ,561-340-1700,,,FourStar,florida,"Singer Island,   Florida",Eastern
Tropicals of Palm Beach,235 Sunrise Avenue  ,561-345-1092,,,ThreeStar,florida,"Palm Beach,   Florida",Eastern
Wyndham Boca Raton Hotel,1950 Glades Road Boca RatonFlorida 33431 ,561-368-5200,,,ThreeStar,florida,"Boca Raton,   Florida",Eastern
Renaissance Boca Raton Hotel,2000 Nw 19Th St 33431 Boca RatonFlorida ,561-368-5252,,,FourStar,florida,"Boca Raton,   Florida",Eastern
Waterstone Resort & Marina Boca Raton Curio Collection By Hilton,999 East Camino Real Boca RatonFlorida 33432 ,561-368-9500,,,FourStar,florida,"Boca Raton,   Florida",Eastern
Hampton Inn and Suites Boynton Beach FL,1475 West Gateway Boulevard Boynton BeachFlorida 33426 ,561-369-0018,,,ThreeStar,florida,"Boynton Beach,   Florida",Eastern
Homing Inn,2821 S. Federal Hwy Boynton BeachFlorida 33435 ,561-369-8366,,,TwoStar,florida,"Boynton Beach,   Florida",Eastern
Towneplace Suites Boynton Beach,2450 Quantum Boulevard Boynton BeachFlorida 33426 ,561-375-6512,,,ThreeStar,florida,"Boynton Beach,   Florida",Eastern
Tropical Isle Waterfront Homes,932 Gardenia Dr Delray BeachFlorida 33483 ,561-385-2998,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
Ventura at Boca Raton,2301 South Ocean Boulevard Boca RatonFlorida 33432 ,561-392-0375,,,ThreeStar,florida,"Boca Raton,   Florida",Eastern
La Boca Casa,365 N. Ocean Blvd. Florida Boca Raton Boca RatonFlorida 33432 ,561-392-0882,,,TwoStar,florida,"Boca Raton,   Florida",Eastern
Boca Raton Marriott at Boca Center,5150 Town Center Cir Boca RatonFlorida 33486 ,561-392-4600,,,FourStar,florida,"Boca Raton,   Florida",Eastern
Best Western Plus University Inn,2700 N Federal Hwy Boca RatonFlorida 33431-7720 ,561-395-5225,,,TwoStar,florida,"Boca Raton,   Florida",Eastern
Quality Inn Boca Raton,2899 N. Federal Hwy Boca RatonFlorida 33431 ,561-395-7172,,,TwoStar,florida,"Boca Raton,   Florida",Eastern
Boca Inn,1801 North Federal Highway Boca RatonFlorida 33432 ,561-395-7500,,,ThreeStar,florida,"Boca Raton,   Florida",Eastern
Ocean Lodge,531 North Ocean Boulevard Boca RatonFlorida 33432 ,561-395-7772,,,TwoStar,florida,"Boca Raton,   Florida",Eastern
Fairfield Inn & Suites Boca Raton,3400 Airport Road Boca RatonFlorida 33431 ,561-417-8585,,,TwoStar,florida,"Boca Raton,   Florida",Eastern
Cloister at The Boca Raton,501 E Camino Real Boca RatonFlorida 33432 ,561-447-3000,,,FourStar,florida,"Boca Raton,   Florida",Eastern
Waldorf Astoria Boca Raton Country Club,"17751 Boca Club Blvd Boca Raton, FL 33487, United States ",561-447-3600,,,All,florida,"Boca Raton,   Florida",Eastern
Aloft Delray Beach,202 Southeast 5th Avenue Delray BeachFlorida 33483 ,561-469-0550,,,ThreeStar,florida,"Delray Beach,   Florida",Eastern
Quality Inn,1505 Belvedere Rd West Palm BeachFlorida 33406 ,561-471-8700,,,TwoStar,florida,"West Palm Beach,   Florida",Eastern
Hilton Garden Inn West Palm Beach Airport,1611 Worthington Road West Palm BeachFL 33409 ,561-472-5956,,,ThreeStar,florida,"West Palm Beach,   Florida",Eastern
Hampton Inn West Palm Beach Lake Worth Turnpike,8205 Road Lake WorthFlorida 33467 ,561-472-5980,,,TwoStar,florida,"Lake Worth,   Florida",Eastern
Hawthorn Suites by Wyndham West Palm Beach,301 Lamberton Drive West Palm BeachFL 33401 ,561-472-7000,,,ThreeStar,florida,"West Palm Beach,   Florida",Eastern
Holiday Inn Express West Palm Beach Metrocentre,2485 Metrocentre Blvd. West Palm BeachFlorida 33407 ,561-472-7020,,,TwoStar,florida,"West Palm Beach,   Florida",Eastern
